gene,d,log2fc,p_raw,is_surface,mean_junb_plus,mean_junb_minus,p_bh
7SK,-0.6485,-0.0918,0.087604,False,0.0517,0.1435,0.143545
7SK.4,0.419,0.0444,0.244165,False,0.0603,0.016,0.329087
A1BG,0.2861,0.0186,0.41573,False,0.0043,-0.0143,0.504883
A1BG-AS1,-0.2346,-0.0232,0.501514,False,-0.0371,-0.0138,0.586549
A1CF,-1.7218,-0.0364,0.000858,False,-0.0495,-0.0131,0.004624
A2M,1.5363,0.1467,0.001735,False,-0.0065,-0.1532,0.007315
A2M-AS1,0.732,0.0582,0.059376,False,0.0535,-0.0046,0.104983
A2ML1,-0.6222,-0.0507,0.098914,False,-0.0504,0.0003,0.158374
A2ML1-AS1,-1.4962,-0.1353,0.002032,False,-0.0796,0.0556,0.008164
A2MP1,-1.1857,-0.1919,0.007431,False,0.0811,0.273,0.020667
A3GALT2,-0.8775,-0.0543,0.030068,False,-0.0716,-0.0172,0.060923
A4GALT,1.012,0.0579,0.016165,False,0.0212,-0.0367,0.037372
A4GNT,-2.5267,-0.0212,6.4e-05,False,-0.0363,-0.0151,0.001755
AAAS,0.1616,0.0175,0.640713,False,0.0099,-0.0076,0.711859
AACS,-0.5176,-0.0665,0.159069,False,-0.0232,0.0434,0.232586
AACSP1,-1.6336,-0.0563,0.001193,False,-0.0648,-0.0085,0.005704
AADAC,0.1739,0.0023,0.616067,False,-0.01,-0.0123,0.689416
AADACL2,-2.68,-0.0256,4.2e-05,False,-0.0434,-0.0178,0.001659
AADACL2-AS1,-3.1346,-0.0961,1.3e-05,False,-0.1007,-0.0046,0.001236
AADACL3,-2.5886,-0.0173,5.4e-05,False,-0.0337,-0.0164,0.00172
AADACL4,-1.4198,-0.0165,0.002764,False,-0.0331,-0.0166,0.010104
AADACP1,0.6264,0.0075,0.097023,False,-0.017,-0.0246,0.155893
AADAT,0.0067,0.0007,0.984396,False,0.0103,0.0096,0.98813
AAGAB,-0.0981,-0.0144,0.775941,False,0.0275,0.0419,0.825434
AAK1,-2.0098,-0.173,0.000313,False,-0.0455,0.1275,0.002715
AAMDC,-0.868,-0.0862,0.03142,False,-0.1284,-0.0422,0.063169
AAMP,2.8661,0.1621,2.6e-05,False,0.0416,-0.1205,0.001577
AANAT,-0.4966,-0.0193,0.174641,False,-0.0362,-0.0169,0.250724
AAR2,0.8614,0.0465,0.032403,False,0.0023,-0.0442,0.064794
AARD,0.4383,0.017,0.224984,False,-0.0057,-0.0227,0.307897
AARS,0.2565,0.0146,0.463676,False,-0.0225,-0.0371,0.55092
AARS2,-0.2775,-0.0207,0.429298,False,-0.0153,0.0055,0.51787
AARSD1,-1.2494,-0.111,0.005639,False,0.01,0.121,0.016851
AASDH,-0.4313,-0.0475,0.231797,False,-0.0098,0.0377,0.315462
AASDHPPT,6.2078,0.1495,0.0,False,0.031,-0.1185,0.0
AASS,0.0668,0.0136,0.846094,False,0.0016,-0.012,0.881696
AATBC,-1.6508,-0.0024,0.001117,False,-0.0136,-0.0113,0.00546
AATF,-0.0528,-0.0048,0.878013,False,0.0044,0.0092,0.906471
AATK,-0.7376,-0.0248,0.05782,False,-0.0374,-0.0126,0.102746
ABALON,0.9754,0.0162,0.019105,False,-0.0059,-0.0222,0.042564
ABAT,-0.4333,-0.0417,0.229884,False,-0.0273,0.0144,0.313276
ABBA01000935.2,-1.4891,-0.0835,0.00209,False,-0.0947,-0.0113,0.008331
ABCA1,0.1463,0.0247,0.672302,False,-0.0492,-0.0738,0.73865
ABCA10,-1.1485,-0.2543,0.008752,False,-0.1518,0.1025,0.023367
ABCA11P,-1.8239,-0.3336,0.000593,False,-0.0656,0.268,0.003711
ABCA12,-0.8954,-0.0604,0.027655,False,-0.0651,-0.0047,0.056896
ABCA13,-1.2179,-0.1029,0.006459,False,-0.0726,0.0303,0.018581
ABCA17P,-0.5721,-0.0698,0.124447,False,-0.0581,0.0117,0.190563
ABCA2,-0.027,-0.002,0.937394,False,-0.004,-0.002,0.951909
ABCA3,-1.1663,-0.0962,0.008093,False,-0.0614,0.0348,0.022005
ABCA4,-1.2997,-0.0597,0.004551,False,-0.0794,-0.0198,0.014429
ABCA5,-2.7738,-0.2247,3.3e-05,False,-0.2355,-0.0108,0.001634
ABCA6,-1.0859,-0.2033,0.011567,False,-0.1328,0.0705,0.028884
ABCA7,-1.4682,-0.0472,0.002272,False,-0.0816,-0.0344,0.008849
ABCA8,-0.7211,-0.1469,0.062471,False,-0.0594,0.0875,0.109311
ABCA9,-1.0791,-0.2433,0.011926,False,-0.1223,0.121,0.029566
ABCA9-AS1,-2.0249,-0.3826,0.000298,False,-0.4193,-0.0367,0.002656
ABCB1,-0.2352,-0.0235,0.500476,True,0.0042,0.0276,0.58548
ABCB10,-0.7401,-0.0495,0.057148,False,-0.0265,0.023,0.101747
ABCB11,0.0073,0.0007,0.983034,False,-0.0176,-0.0183,0.986999
ABCB4,-0.2353,-0.0223,0.500313,False,-0.027,-0.0047,0.58534
ABCB5,-0.7375,-0.0694,0.057844,False,-0.0434,0.026,0.102774
ABCB6,-0.4291,-0.0712,0.233945,False,0.0899,0.1612,0.317837
ABCB7,-1.4155,-0.1122,0.002812,False,-0.058,0.0542,0.010231
ABCB8,-0.3634,-0.0397,0.3074,False,0.0071,0.0468,0.396237
ABCB9,-0.9874,-0.161,0.018083,False,-0.0882,0.0728,0.04076
ABCC1,-1.2389,-0.1572,0.0059,True,-0.0326,0.1245,0.017391
ABCC10,-0.4765,-0.041,0.190692,False,-0.032,0.009,0.269514
ABCC11,-2.3549,-0.0707,0.000106,False,-0.088,-0.0173,0.001908
ABCC12,-2.1135,-0.0391,0.000223,False,-0.0585,-0.0194,0.002362
ABCC13,-1.4204,-0.077,0.002757,False,-0.0928,-0.0158,0.010083
ABCC2,0.1251,0.0062,0.717254,False,0.0484,0.0422,0.776984
ABCC3,0.0429,0.004,0.900725,False,-0.0115,-0.0155,0.924421
ABCC4,-0.6327,-0.0729,0.09425,False,0.035,0.1079,0.152301
ABCC5,-2.1099,-0.1637,0.000225,False,-0.0413,0.1225,0.002366
ABCC5-AS1,-2.2134,-0.0216,0.000162,False,-0.0398,-0.0182,0.002139
ABCC6,-0.803,-0.0791,0.042576,False,-0.0934,-0.0143,0.080455
ABCC6P1,-0.2772,-0.0165,0.429721,False,-0.0319,-0.0154,0.518281
ABCC6P2,0.4749,0.0136,0.192105,False,-0.0157,-0.0293,0.271093
ABCC8,-0.9772,-0.0334,0.018953,False,-0.0531,-0.0198,0.042288
ABCC9,0.603,0.071,0.108073,False,0.0339,-0.0371,0.170102
ABCD1,0.2546,0.0158,0.46689,False,0.0087,-0.0071,0.554121
ABCD2,0.0242,0.0013,0.943874,False,-0.0187,-0.02,0.957153
ABCD3,-0.8071,-0.0754,0.041775,False,-0.0454,0.03,0.079294
ABCD4,-0.1651,-0.0136,0.633621,False,-0.0354,-0.0218,0.705534
ABCE1,1.1137,0.1295,0.010215,False,0.0488,-0.0807,0.026265
ABCF1,0.6841,0.1022,0.074256,False,0.0299,-0.0722,0.125622
ABCF2,-0.3569,-0.0627,0.315524,False,0.0227,0.0854,0.404902
ABCF2.1,0.6664,0.0829,0.080619,False,-0.0274,-0.1102,0.134132
ABCF2P1,1.0754,0.0278,0.012123,False,-0.0017,-0.0295,0.029948
ABCF3,0.1737,0.0128,0.616385,False,-0.0268,-0.0396,0.68971
ABCG1,-0.3761,-0.0297,0.29188,False,-0.0524,-0.0227,0.380189
ABCG2,-0.7071,-0.064,0.066702,True,-0.0671,-0.0031,0.115218
ABCG4,-0.5688,-0.0063,0.126329,False,-0.0168,-0.0105,0.192894
ABCG5,-2.4739,-0.0433,7.5e-05,False,-0.0598,-0.0165,0.001799
ABCG8,-1.0224,-0.0217,0.015416,False,-0.0334,-0.0117,0.035994
ABHD1,-1.3138,-0.0467,0.004288,False,-0.0557,-0.009,0.013808
ABHD10,0.1725,0.0157,0.618795,False,0.0246,0.0089,0.691834
ABHD11,1.006,0.0995,0.01661,False,0.0365,-0.0629,0.038137
ABHD11-AS1,1.1299,0.0102,0.009505,False,-0.0058,-0.016,0.024843
ABHD12,0.0521,0.0042,0.879783,False,-0.0327,-0.0368,0.907878
ABHD12B,-1.5938,-0.053,0.001388,False,-0.0732,-0.0202,0.006305
ABHD13,1.0332,0.1013,0.014674,False,0.0474,-0.0539,0.034662
ABHD14A,1.5174,0.0913,0.001869,False,0.0059,-0.0855,0.007703
ABHD14A-ACY1,-0.2948,-0.0304,0.402277,False,-0.012,0.0184,0.491799
ABHD14B,0.7429,0.0565,0.056399,False,0.0226,-0.0339,0.100746
ABHD15,0.5999,0.0458,0.109583,False,0.011,-0.0348,0.171964
ABHD15-AS1,-1.7211,-0.2507,0.00086,False,-0.2247,0.0259,0.004632
ABHD16A,-0.4908,-0.0896,0.179129,False,-0.0259,0.0637,0.255983
ABHD17A,0.9547,0.101,0.021022,False,0.0105,-0.0905,0.045836
ABHD17AP1,0.2512,0.0255,0.472711,False,-0.005,-0.0305,0.55987
ABHD17AP3,0.6241,0.0104,0.09804,False,-0.0169,-0.0273,0.157174
ABHD17AP5,2.0234,0.0048,0.000299,False,-0.0082,-0.013,0.002661
ABHD17AP6,-2.0516,-0.0406,0.000273,False,-0.0617,-0.0211,0.002553
ABHD17B,-0.4567,-0.0332,0.207904,False,-0.0046,0.0285,0.288803
ABHD17C,-0.387,-0.0393,0.279115,False,-0.007,0.0322,0.366825
ABHD18,-1.919,-0.1999,0.000426,False,-0.0442,0.1556,0.003111
ABHD2,0.0097,0.001,0.977386,False,-0.1048,-0.1058,0.982969
ABHD3,-1.1571,-0.1749,0.008427,False,-0.0529,0.122,0.022697
ABHD4,0.7289,0.05,0.060224,False,-0.0159,-0.066,0.106164
ABHD5,1.6681,0.1063,0.001047,False,0.0226,-0.0837,0.005249
ABHD6,-0.4578,-0.0503,0.206858,False,-0.0204,0.0299,0.287636
ABHD8,-0.5799,-0.0584,0.120088,False,-0.0422,0.0162,0.185366
ABI1,-0.4554,-0.0325,0.209065,False,-0.0105,0.022,0.290129
ABI2,0.0734,0.0078,0.83129,False,0.0726,0.0648,0.869574
ABI3,0.2542,0.0143,0.467568,False,-0.012,-0.0263,0.554838
ABI3BP,0.2159,0.0186,0.535359,False,0.0693,0.0507,0.6176
ABITRAM,0.7828,0.037,0.046809,False,0.0285,-0.0085,0.08679
ABL1,-0.802,-0.0977,0.042783,False,0.0903,0.188,0.080778
ABL2,-0.3876,-0.0485,0.278412,False,0.0271,0.0756,0.366143
ABLIM1,-1.4021,-0.1875,0.002971,False,-0.139,0.0485,0.010627
ABLIM2,-1.6302,-0.2879,0.001208,False,-0.3229,-0.035,0.005753
ABLIM3,-2.4562,-0.1331,7.9e-05,False,-0.0561,0.077,0.001808
ABO,-0.8472,-0.1197,0.034627,False,-0.0511,0.0686,0.068292
ABR,-0.4337,-0.0521,0.229461,False,0.0494,0.1014,0.312868
ABRA,-4.5798,-0.1101,1e-06,False,-0.1565,-0.0465,0.000403
ABRACL,1.3729,0.1392,0.003351,False,0.0551,-0.0841,0.011596
ABRAXAS1,0.8122,0.0772,0.040789,False,0.0313,-0.0459,0.077801
ABRAXAS2,0.1901,0.0125,0.584124,False,0.002,-0.0105,0.661633
ABT1,2.0849,0.1523,0.000244,False,0.0494,-0.1029,0.002441
ABTB1,-0.2788,-0.022,0.427138,False,0.0375,0.0595,0.515922
ABTB2,-2.4806,-0.1836,7.3e-05,False,-0.1417,0.0419,0.001786
AC000032.1,-0.1501,-0.0056,0.664363,False,-0.0361,-0.0305,0.731691
AC000041.1,0.3765,0.027,0.291405,False,0.0186,-0.0084,0.37968
AC000058.1,-2.8504,-0.016,2.7e-05,False,-0.0304,-0.0144,0.001582
AC000061.1,-1.2987,-0.0284,0.004569,False,-0.0436,-0.0152,0.014473
AC000065.1,-1.8834,-0.0422,0.000481,False,-0.0624,-0.0202,0.003315
AC000065.2,-1.1576,-0.0334,0.008409,False,-0.0514,-0.0179,0.022656
AC000068.1,0.3924,0.0044,0.272897,False,-0.0185,-0.0229,0.360368
AC000068.2,-1.2105,-0.0015,0.006672,False,-0.018,-0.0165,0.019023
AC000068.3,-1.773,-0.0285,0.000712,False,-0.0455,-0.0171,0.004139
AC000072.1,-2.014,-0.0312,0.000309,False,-0.0483,-0.017,0.002704
AC000077.1,-2.4761,-0.0217,7.4e-05,False,-0.0344,-0.0127,0.001795
AC000082.1,1.7448,0.0065,0.000789,False,-0.0064,-0.0128,0.004387
AC000085.1,-1.1846,-0.1128,0.007467,False,-0.093,0.0198,0.020732
AC000089.1,0.9061,0.0229,0.026322,False,0.0015,-0.0214,0.054764
AC000093.1,-0.5296,-0.0752,0.150795,False,0.0383,0.1135,0.222788
AC000099.1,-0.7097,-0.0243,0.065886,False,-0.0404,-0.0161,0.114037
AC000113.1,-2.5585,-0.0653,5.9e-05,False,-0.0795,-0.0142,0.001747
AC000120.1,-0.3169,-0.0579,0.369569,False,0.0458,0.1037,0.459451
AC000120.2,0.0991,0.0239,0.773887,False,0.0869,0.0629,0.823551
AC000120.3,-1.2764,-0.2701,0.005023,False,-0.049,0.2211,0.015478
AC000123.2,0.1489,0.0032,0.666933,False,-0.013,-0.0162,0.73388
AC000123.3,-0.5948,-0.0221,0.112203,False,-0.0432,-0.0211,0.175254
AC000124.1,-0.4962,-0.0097,0.174926,False,-0.023,-0.0133,0.251052
AC000372.1,-1.161,-0.0339,0.008283,False,-0.046,-0.0121,0.022403
AC000403.1,1.2428,0.0272,0.005801,False,-0.0051,-0.0323,0.017176
AC001226.1,0.152,0.0081,0.660616,False,-0.0076,-0.0157,0.728412
AC001226.2,-0.9637,-0.1278,0.020164,False,-0.0522,0.0756,0.044416
AC002044.1,-1.297,-0.0956,0.004603,False,-0.0774,0.0182,0.014545
AC002044.2,-1.5243,-0.0829,0.001819,False,-0.0195,0.0635,0.007557
AC002044.3,-2.1033,-0.018,0.00023,False,-0.0293,-0.0114,0.002386
AC002056.1,0.561,0.0163,0.130845,False,-0.012,-0.0283,0.198489
AC002056.2,0.7038,0.0026,0.067737,False,-0.0072,-0.0097,0.116649
AC002057.1,1.1729,0.0046,0.007859,False,-0.0028,-0.0074,0.021547
AC002057.2,-2.0209,-0.0372,0.000302,False,-0.0477,-0.0105,0.002678
AC002059.1,0.7865,0.0059,0.045995,False,-0.0061,-0.012,0.085566
AC002059.3,-1.2237,-0.0249,0.006298,False,-0.0374,-0.0125,0.018269
AC002064.1,-0.0639,-0.0055,0.852681,False,-0.0231,-0.0176,0.886656
AC002064.2,-0.6354,-0.0206,0.093091,False,-0.0436,-0.023,0.150734
AC002066.1,-1.5314,-0.1139,0.001769,False,0.0236,0.1375,0.007415
AC002069.2,-0.83,-0.0769,0.037523,False,-0.0752,0.0017,0.072689
AC002070.1,-1.4522,-0.2121,0.002424,False,-0.1913,0.0208,0.009258
AC002072.1,-1.4177,-0.0923,0.002788,False,-0.0662,0.0261,0.010168
AC002074.1,-0.8358,-0.1152,0.036523,False,-0.0346,0.0806,0.071171
AC002074.2,-0.5064,-0.0186,0.167209,False,-0.0425,-0.0239,0.242084
AC002075.2,-1.1849,-0.0203,0.007459,False,-0.0295,-0.0091,0.020724
AC002091.1,-2.3721,-0.019,0.0001,False,-0.0279,-0.0088,0.001889
AC002094.1,-0.7743,-0.1216,0.048704,False,-0.041,0.0806,0.089545
AC002094.2,1.6838,0.0147,0.000988,False,-0.0097,-0.0244,0.005057
AC002094.3,-0.1526,-0.0018,0.659371,False,-0.016,-0.0142,0.727421
AC002094.4,-0.6119,-0.0201,0.103703,False,-0.0361,-0.016,0.164469
AC002094.5,-2.4196,-0.0082,8.7e-05,False,-0.0211,-0.0129,0.001836
AC002101.1,-0.7075,-0.0214,0.066572,False,-0.034,-0.0126,0.11503
AC002116.1,0.4387,0.0333,0.224622,False,0.0373,0.0039,0.307489
AC002116.2,-0.5935,-0.0315,0.112877,False,-0.0367,-0.0052,0.17611
AC002128.1,-0.2562,-0.003,0.464192,False,-0.0117,-0.0087,0.551386
AC002128.2,-0.9059,-0.0037,0.026339,False,-0.0123,-0.0086,0.054791
AC002310.1,0.4487,0.0238,0.215211,False,0.0056,-0.0182,0.296905
AC002310.2,-0.574,-0.0239,0.123394,False,-0.0452,-0.0213,0.189372
AC002310.3,-2.148,-0.0134,0.0002,False,-0.0234,-0.01,0.002275
AC002310.4,-0.5888,-0.0392,0.115296,False,-0.044,-0.0048,0.179183
AC002310.5,1.0826,0.0054,0.01174,False,-0.0072,-0.0126,0.029208
AC002331.1,-1.9506,-0.051,0.000382,False,-0.0782,-0.0272,0.00296
AC002347.1,-1.9882,-0.0074,0.000336,False,-0.0181,-0.0107,0.002798
AC002347.2,-2.6028,-0.0127,5.2e-05,False,-0.0267,-0.014,0.001716
AC002350.2,-0.798,-0.0133,0.043582,False,-0.0366,-0.0233,0.081976
AC002366.1,-0.8554,-0.0241,0.033322,False,-0.0436,-0.0195,0.06624
AC002367.1,1.8818,0.0109,0.000484,False,-0.0005,-0.0115,0.003326
AC002375.1,-0.9525,-0.029,0.02123,False,-0.0514,-0.0223,0.0462
AC002377.1,-0.937,-0.0987,0.022804,False,-0.0569,0.0418,0.048863
AC002378.1,-0.4793,-0.0108,0.188404,False,-0.0303,-0.0195,0.266879
AC002383.1,-1.0265,-0.0372,0.015129,False,-0.0467,-0.0096,0.035479
AC002398.1,0.2541,0.011,0.467803,False,-0.0097,-0.0206,0.555065
AC002398.2,1.0635,0.0541,0.012792,False,-0.0004,-0.0545,0.031173
AC002401.1,-0.9375,-0.006,0.022752,False,-0.0318,-0.0258,0.048782
AC002401.4,-0.1784,-0.0033,0.606967,False,-0.014,-0.0107,0.681629
AC002407.1,1.373,0.006,0.003349,False,-0.0013,-0.0073,0.011593
AC002428.1,0.5342,0.0041,0.147702,False,-0.0043,-0.0084,0.219115
AC002428.2,0.3049,0.0099,0.387055,False,-0.0032,-0.0131,0.476729
AC002429.2,-0.6378,-0.0914,0.092029,False,-0.0725,0.0189,0.149404
AC002451.1,-1.0246,-0.1242,0.015262,False,-0.0689,0.0554,0.035723
AC002451.2,-1.1017,-0.0098,0.010775,False,-0.0268,-0.017,0.027347
AC002454.1,-1.8882,-0.0732,0.000473,False,-0.0824,-0.0092,0.00329
AC002456.1,0.8506,0.0453,0.034084,False,0.0064,-0.0389,0.067432
AC002456.2,-0.6989,-0.0368,0.069286,False,-0.0489,-0.0121,0.118765
AC002458.1,-2.7037,-0.0107,4e-05,False,-0.0243,-0.0136,0.001649
AC002460.2,-1.5642,-0.2382,0.001556,False,-0.1337,0.1045,0.006788
AC002463.1,-1.0543,-0.1689,0.013335,False,-0.0892,0.0797,0.032182
AC002465.1,-2.9428,-0.0065,2.1e-05,False,-0.0197,-0.0133,0.001455
AC002465.2,-1.1085,-0.0263,0.010454,False,-0.0403,-0.0141,0.026724
AC002467.1,3.4215,0.0329,7e-06,False,0.0006,-0.0323,0.000985
AC002470.1,0.8664,0.0329,0.031659,False,0.0031,-0.0298,0.063524
AC002470.2,-0.846,-0.0818,0.034822,False,-0.0275,0.0544,0.068612
AC002472.1,-1.712,-0.0669,0.00089,False,-0.0912,-0.0243,0.004735
AC002472.2,0.0575,0.0032,0.86739,False,-0.019,-0.0222,0.897831
AC002472.4,-0.9464,-0.0239,0.021839,False,-0.034,-0.0101,0.04725
AC002480.1,0.6116,0.0049,0.103846,False,-0.0119,-0.0168,0.164647
AC002480.2,-0.4506,-0.015,0.213448,False,-0.0407,-0.0257,0.294956
AC002504.1,0.9108,0.0046,0.025747,False,-0.0071,-0.0117,0.05384
AC002519.1,-0.5996,-0.0098,0.109755,False,-0.027,-0.0172,0.172148
AC002519.2,-0.4754,-0.0063,0.191648,False,-0.0268,-0.0205,0.270532
AC002524.1,1.3312,0.015,0.003985,False,-0.0039,-0.0189,0.013132
AC002525.1,1.378,0.0117,0.003281,False,0.0031,-0.0086,0.011421
AC002542.6,-0.9526,-0.0248,0.021219,False,-0.0422,-0.0174,0.046187
AC002543.1,1.1688,0.0059,0.008004,False,-0.0093,-0.0152,0.021843
AC002545.1,-0.1858,-0.0019,0.592455,False,-0.0159,-0.014,0.668947
AC002546.1,-0.5334,-0.0497,0.148237,False,-0.0552,-0.0055,0.219754
AC002550.1,-0.7358,-0.0223,0.058326,False,-0.0453,-0.023,0.103441
AC002550.2,0.2822,0.0024,0.421872,False,-0.0211,-0.0236,0.510883
AC002551.1,-0.6868,-0.0067,0.07332,False,-0.0191,-0.0124,0.124328
AC002553.1,-0.5855,-0.0278,0.117054,False,-0.039,-0.0113,0.181415
AC002553.2,-0.0344,-0.0017,0.920353,False,-0.0201,-0.0184,0.938963
AC002558.1,-0.274,-0.031,0.434948,False,-0.0354,-0.0043,0.523468
AC002558.2,-2.0219,-0.0164,0.000301,False,-0.036,-0.0196,0.002671
AC002558.3,-2.2136,-0.159,0.000162,False,-0.0566,0.1024,0.002139
AC002985.1,-0.7999,-0.0935,0.043193,False,0.0214,0.1149,0.081414
AC002996.1,-0.9019,-0.1175,0.026837,False,-0.087,0.0305,0.055564
AC003002.1,-1.9487,-0.0834,0.000384,False,-0.0784,0.005,0.002968
AC003002.2,-0.3067,-0.0535,0.384438,False,0.0079,0.0614,0.47429
AC003002.3,-0.9127,-0.0934,0.02553,False,-0.0648,0.0286,0.053484
AC003005.1,-0.6186,-0.0242,0.100556,False,-0.0196,0.0046,0.1605
AC003005.2,-0.3702,-0.0073,0.299058,False,-0.0227,-0.0154,0.387557
AC003006.1,-1.4968,-0.2221,0.002028,False,-0.0819,0.1403,0.00815
AC003035.1,-0.1516,-0.0046,0.661248,False,-0.0197,-0.0151,0.728918
AC003035.2,-1.8829,-0.0263,0.000482,False,-0.0363,-0.01,0.003317
AC003043.2,-2.3448,-0.0173,0.000109,False,-0.0304,-0.0131,0.001909
AC003044.1,-1.2329,-0.0734,0.006053,False,-0.0725,0.0008,0.017734
AC003072.1,-1.2884,-0.0419,0.004774,False,-0.0475,-0.0055,0.014932
AC003072.2,-0.9878,-0.0367,0.018054,False,-0.0496,-0.0129,0.040707
AC003077.1,0.6236,0.0184,0.098296,False,-0.0,-0.0185,0.157544
AC003080.1,-1.4455,-0.0119,0.00249,False,-0.0282,-0.0163,0.009421
AC003084.1,-2.1042,-0.0098,0.00023,False,-0.0201,-0.0104,0.002386
AC003086.1,-0.2719,-0.0105,0.438252,False,-0.0235,-0.0131,0.52669
AC003092.1,-0.5929,-0.0131,0.113196,False,-0.0321,-0.0191,0.176521
AC003092.2,-1.8553,-0.0168,0.000531,False,-0.0286,-0.0118,0.003496
AC003093.1,-1.4034,-0.027,0.002955,False,-0.052,-0.025,0.010591
AC003101.1,-0.8272,-0.0285,0.038008,False,-0.0418,-0.0134,0.073418
AC003101.2,-0.0338,-0.0011,0.921616,False,-0.026,-0.0249,0.939871
AC003102.1,-0.886,-0.074,0.02889,False,-0.0748,-0.0008,0.058985
AC003659.1,-0.2717,-0.0082,0.438664,False,-0.022,-0.0138,0.527068
AC003666.1,-0.6324,-0.0399,0.09438,False,-0.0553,-0.0154,0.152436
AC003681.1,0.2154,0.0152,0.53615,False,0.0192,0.004,0.618235
AC003682.1,-1.0841,-0.041,0.011661,False,-0.0589,-0.0179,0.029063
AC003684.1,-2.3198,-0.0306,0.000117,False,-0.0414,-0.0108,0.001954
AC003688.1,-1.6181,-0.07,0.001265,False,-0.0811,-0.0111,0.005932
AC003950.1,-1.0467,-0.0188,0.013805,False,-0.0286,-0.0098,0.033065
AC003956.1,1.3582,0.0125,0.00356,False,-0.0034,-0.0159,0.012128
AC003958.2,-2.3521,-0.0182,0.000107,False,-0.03,-0.0117,0.001909
AC003965.1,0.211,0.0054,0.54433,False,-0.0154,-0.0208,0.625717
AC003965.2,-1.4702,-0.0123,0.002254,False,-0.0242,-0.0119,0.008808
AC003973.1,-2.0588,-0.0435,0.000266,False,-0.0511,-0.0076,0.002521
AC003973.2,-0.7077,-0.0742,0.066495,False,-0.0158,0.0584,0.114923
AC003975.1,-1.9954,-0.0161,0.000328,False,-0.0307,-0.0145,0.002771
AC003982.1,-1.0061,-0.0118,0.016605,False,-0.0213,-0.0096,0.03813
AC003984.1,0.0341,0.0013,0.921139,False,-0.011,-0.0123,0.939546
AC003986.2,-2.2752,-0.0069,0.000134,False,-0.0158,-0.0088,0.002042
AC003986.3,1.7553,0.0128,0.000759,False,-0.0072,-0.0199,0.004293
AC003988.1,-0.0296,-0.0014,0.931437,False,-0.0158,-0.0144,0.947105
AC003991.1,0.0008,0.0001,0.998108,False,0.0022,0.0021,0.998662
AC003991.2,2.3454,0.0193,0.000109,False,0.0078,-0.0115,0.001909
AC003992.1,1.7419,0.0042,0.000797,False,-0.0029,-0.007,0.004418
AC004000.1,-0.1194,-0.0126,0.729542,False,-0.0193,-0.0067,0.787253
AC004009.1,-1.5527,-0.0319,0.001628,False,-0.0433,-0.0114,0.007013
AC004012.1,0.4419,0.0104,0.221569,False,-0.0206,-0.031,0.304113
AC004014.1,-0.545,-0.0295,0.140668,False,-0.0472,-0.0177,0.210512
AC004014.2,-0.5747,-0.0224,0.123005,False,-0.0366,-0.0142,0.188913
AC004024.1,1.0276,0.0026,0.015054,False,-0.0092,-0.0118,0.035363
AC004034.1,-2.3088,-0.0864,0.000121,False,-0.1071,-0.0207,0.001983
AC004039.1,-0.9621,-0.0917,0.020311,False,-0.0992,-0.0075,0.044682
AC004047.1,-1.2606,-0.0114,0.005375,False,-0.0211,-0.0097,0.016256
AC004052.1,-1.5562,-0.0968,0.001605,False,-0.1164,-0.0196,0.006941
AC004053.1,-1.5703,-0.1299,0.00152,False,-0.1031,0.0267,0.006686
AC004054.1,-1.4104,-0.0062,0.002872,False,-0.0176,-0.0114,0.010378
AC004057.1,1.8427,0.1601,0.000555,False,0.062,-0.0981,0.00358
AC004063.1,-1.9219,-0.0136,0.000421,False,-0.025,-0.0114,0.003096
AC004067.1,1.2076,0.0117,0.006756,False,-0.0197,-0.0314,0.019198
AC004069.1,-0.391,-0.0115,0.274526,False,-0.0284,-0.0168,0.36214
AC004076.1,-1.4422,-0.191,0.002524,False,-0.1537,0.0373,0.009512
AC004076.2,-1.5444,-0.017,0.001681,False,-0.0454,-0.0283,0.007167
AC004079.1,-0.3142,-0.0041,0.373434,False,-0.0208,-0.0167,0.463361
AC004079.3,1.2304,0.003,0.00612,False,-0.0066,-0.0096,0.01788
AC004079.4,1.4262,0.0041,0.002692,False,-0.0065,-0.0105,0.009924
AC004079.5,0.0028,0.0003,0.993605,False,0.0605,0.0602,0.995315
AC004080.12,-0.2058,-0.0058,0.55421,False,-0.0238,-0.0181,0.634842
AC004080.13,2.5142,0.0125,6.7e-05,False,0.003,-0.0095,0.001755
AC004080.15,-1.3593,-0.0082,0.003545,False,-0.0157,-0.0075,0.012097
AC004080.2,-0.6828,-0.0469,0.07469,False,-0.0644,-0.0175,0.126204
AC004080.3,-0.2889,-0.0506,0.411336,False,-0.0124,0.0382,0.500623
AC004080.5,-0.0207,-0.0008,0.951971,False,-0.0119,-0.011,0.963274
AC004080.6,-1.4091,-0.0949,0.002887,False,-0.0178,0.0772,0.010411
AC004083.1,-1.501,-0.1646,0.001995,False,-0.1285,0.0361,0.008059
AC004112.1,-0.8851,-0.048,0.029023,False,-0.068,-0.0199,0.059205
AC004129.1,1.3239,0.0123,0.004109,False,0.0003,-0.012,0.013426
AC004130.2,0.2668,0.0119,0.446616,False,-0.0215,-0.0333,0.534653
AC004147.4,-1.9364,-0.115,0.000401,False,-0.1152,-0.0001,0.003028
AC004148.1,0.2897,0.0228,0.410048,False,0.007,-0.0158,0.499323
AC004156.1,-1.2222,-0.0188,0.00634,False,-0.0413,-0.0225,0.018348
