dataset,cell_type,tf,n_cis_variants,min_p,min_q,min_fdr,lead_sig,rsid_best
OneK1K_Yazar_2022,bin,ATF3,3522,3.72207188232602e-05,0.0169015664197517,0.106719312418724,False,rs2970579
OneK1K_Yazar_2022,bin,CDKN1A,3973,0.0001196766197173,0.0054150502517159,0.0395238149917117,True,rs9942452
OneK1K_Yazar_2022,bin,CEBPB,3956,0.0036857458186838,0.377751156256251,0.607202319358484,False,rs6067341
OneK1K_Yazar_2022,bin,EGR1,2142,0.0436823033013369,0.803711528864218,0.927464745689367,False,rs34574126
OneK1K_Yazar_2022,bin,EGR2,3848,0.0001556151943765,0.0842297573386562,0.25792745614436,False,rs10995080
OneK1K_Yazar_2022,bin,FOS,3058,0.0014649111641693,0.320290569262745,0.5614107030817,False,rs56239808
OneK1K_Yazar_2022,bin,IRF1,2903,0.0005907895571198,0.147081390973202,0.48551141573594,False,rs270607
OneK1K_Yazar_2022,bin,JUNB,2854,0.0040209677793793,0.503192916668352,0.788939760610015,False,rs157186
OneK1K_Yazar_2022,bin,KLF10,4515,0.0056685241006254,0.401953030608732,0.703907037676161,False,rs117648491
OneK1K_Yazar_2022,bmem,ATF3,3522,0.0023444216369618,0.386963575093649,0.655781122487597,False,rs76474458
OneK1K_Yazar_2022,bmem,CDKN1A,3973,0.0002265891417833,0.010949345854065,0.0821041647701361,False,rs4711484
OneK1K_Yazar_2022,bmem,CEBPB,3956,0.000552000705987,0.151810296338289,0.403299696479961,False,rs140960754
OneK1K_Yazar_2022,bmem,EGR1,2142,0.0073582305227315,0.543788331840664,0.774018419441284,False,rs11749167
OneK1K_Yazar_2022,bmem,EGR2,3848,0.0010425858081219,0.303582351045572,0.614486619243972,False,rs10995028
OneK1K_Yazar_2022,bmem,FOS,3058,6.01180052758726e-05,0.0789735384647401,0.279945485763994,False,rs1860106
OneK1K_Yazar_2022,bmem,IRF1,2903,0.0114997965080571,0.620066107252093,0.838908983911153,False,rs4451042
OneK1K_Yazar_2022,bmem,JUNB,2854,0.0041797843307377,0.557320439962363,0.759439543370671,False,rs10402463
OneK1K_Yazar_2022,bmem,KLF10,4515,0.0003340708002933,0.0707571834814146,0.294498799452071,False,rs28672985
OneK1K_Yazar_2022,cd4et,ATF3,3522,0.0009306912498019,0.198498787200917,0.517527909853623,False,rs903803
